,Chain_Model,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
0,LightGBM(DEG),disparate_parity,0.09394360059242335,0.01665306120285555,0.1290102641974301,1294217324540.8782,0.6854941145529454,0.010384396547221158
1,LightGBM(DEG),equal_opportunity,0.11073419388612919,0.025885569077204667,0.16081792643228882,2440734957524.6514,0.7470328114375535,0.0150431978395169
2,LightGBM(DEG),group_fairness,0.07533037004784036,0.014579170472402841,0.12054703518999568,0.33841087571836986,0.2054620250460691,0.00440179949877268
3,LightGBM(DGE),disparate_parity,0.0939436537078202,0.01665306207750728,0.1290102676087584,1294217319662.067,0.6854943048879465,0.01038439708360621
4,LightGBM(DGE),equal_opportunity,0.11059240078614348,0.02584078442396484,0.16067240401175606,2422893382253.2227,0.7465835084216508,0.01500990490704908
5,LightGBM(DGE),group_fairness,0.07548918380714506,0.014625683859887093,0.12073407517732263,0.33782181524705923,0.20586094615127254,0.00441895385476145
6,LightGBM(EDG),disparate_parity,0.09332425707027735,0.016681741338158536,0.12912019012093814,1274071673307.519,0.6798214281183234,0.01037704669891618
7,LightGBM(EDG),equal_opportunity,0.10820181365907593,0.02532116425570922,0.1590540072831487,2140563876351.0098,0.7325786091056573,0.01474846700274672
8,LightGBM(EDG),group_fairness,0.0650450285596696,0.010796307488184251,0.10369352968083448,0.2877536389325416,0.17977551010592624,0.0033661704821807996
9,LightGBM(EGD),disparate_parity,0.09335327625908127,0.01668804214114053,0.1291446127819845,1286258114437.537,0.679625594901479,0.01038509698333688
10,LightGBM(EGD),equal_opportunity,0.10820406081072864,0.025322852342274337,0.15905929845856298,2140563866399.0476,0.7325771242712015,0.014749590245455602
11,LightGBM(EGD),group_fairness,0.06503708051874159,0.01072985887048773,0.10340166039086211,0.28621782113662697,0.17932902907415763,0.0033484837416887904
12,LightGBM(GDE),disparate_parity,0.10080040758674676,0.02058140213698903,0.14340816764411538,454625475208.26404,0.7089555652236992,0.012830018003926741
13,LightGBM(GDE),equal_opportunity,0.11235170594370518,0.029610461842418973,0.17203164496180198,892192315129.6521,0.7546738859333064,0.01726770904693719
14,LightGBM(GDE),group_fairness,0.037698376336813055,0.0056839565345418895,0.07535907379793173,0.15038880487481626,0.10858352730682734,0.00150904285708306
15,LightGBM(GED),disparate_parity,0.10104779486384854,0.02039003170350353,0.14275299615922982,731900755418.6316,0.7201199158003069,0.012697255361075941
16,LightGBM(GED),equal_opportunity,0.11121048980794579,0.029452310197756758,0.17155651127160235,726197851616.533,0.7342181806437184,0.01728036024749306
17,LightGBM(GED),group_fairness,0.037699934635631135,0.00568421222738363,0.07536076902968139,0.1505203576627377,0.10858977812211937,0.00150925279154681
18,AverageEnsemble(2),disparate_parity,0.09330941888906459,0.01660541519453693,0.1288228916887235,1278537222554.2583,0.6807506448110414,0.01033875771894448
19,AverageEnsemble(2),equal_opportunity,0.10871501008119458,0.02533235640731647,0.15908750719162013,2238255430766.425,0.7360422429057908,0.014749469617133781
20,AverageEnsemble(2),group_fairness,0.06690058070123282,0.011399370581236069,0.10651042480686013,0.2939406445236665,0.18338974926195273,0.0035365003947254703
21,EnsembleTree(2),disparate_parity,0.10233166727182623,0.01940193113069029,0.13925664684685696,1624559938570.4858,0.7285224061355224,0.0121448913229102
22,EnsembleTree(2),equal_opportunity,0.11693284096631111,0.02941358173051606,0.17141634770839298,2299332300545.862,0.7685468359059568,0.017154901474631112
23,EnsembleTree(2),group_fairness,0.07832419252261115,0.01343344970957962,0.11570989790316863,0.4590112288600333,0.2692732355874149,0.00453095980484455
24,AverageEnsemble(3),disparate_parity,0.09330367060506442,0.0165551398104845,0.12863022406728564,1283512634156.8008,0.6812376350685148,0.01030763668286255
25,AverageEnsemble(3),equal_opportunity,0.10888682175082535,0.02528425919893716,0.15893689403601022,2256493963846.441,0.7379006369356118,0.01470789875401132
26,AverageEnsemble(3),group_fairness,0.06825890961578007,0.011831746560320381,0.10866067277110489,0.30304394816042957,0.18745272003189117,0.0036469274220856003
27,EnsembleTree(3),disparate_parity,0.10260763648156454,0.019475796387501777,0.1395137125803872,1713131121137.1685,0.7301313875978724,0.01218395944702255
28,EnsembleTree(3),equal_opportunity,0.11760711983836307,0.030009740158678598,0.17316132225605868,2227787247479.6763,0.7700658361444039,0.017463200814445627
29,EnsembleTree(3),group_fairness,0.07629671332943164,0.01298778595841894,0.1137951646703724,0.4328289668711224,0.25936777253095056,0.00430002797809305
30,AverageEnsemble(4),disparate_parity,0.09327865809487687,0.01665638635330731,0.1290227506493853,1192199667016.2603,0.6794075022529102,0.010364697128873081
31,AverageEnsemble(4),equal_opportunity,0.10772320308039122,0.025161426731081755,0.1585455028629757,2054994833804.5923,0.7293954952975323,0.01463359697550885
32,AverageEnsemble(4),group_fairness,0.061957767429755804,0.010171729005681581,0.10036052261636368,0.2786537665937795,0.1710959755498164,0.0030749259687807297
33,EnsembleTree(4),disparate_parity,0.1032431890336378,0.019774890787406872,0.14057838749297016,1552007430859.2734,0.6601411375950751,0.01236361825747146
34,EnsembleTree(4),equal_opportunity,0.11767232160241252,0.03030561959443142,0.17397611499328638,2052883598331.5027,0.6949745730817108,0.01762236711474819
35,EnsembleTree(4),group_fairness,0.06611231988149409,0.01007594592122575,0.09947550555783705,0.4164812167457953,0.24200281614486494,0.0033091243526596702
36,AverageEnsemble(5),disparate_parity,0.09306809062965592,0.01660656384362487,0.12882886474561034,1147039099045.521,0.6788090695949526,0.010328386350565481
37,AverageEnsemble(5),equal_opportunity,0.107242696239048,0.024937007063782112,0.1578450512113151,1969952424714.5366,0.7276901887950903,0.014497394646818379
38,AverageEnsemble(5),group_fairness,0.06055839576895592,0.00965927481268004,0.09821337217284645,0.26939191317524636,0.16828251344748799,0.0028941674545787297
39,EnsembleTree(5),disparate_parity,0.10389694627948416,0.019910878556668156,0.14105553865090414,1665194741630.7883,0.6625348988123225,0.012462457304535851
40,EnsembleTree(5),equal_opportunity,0.11753935629425478,0.03059340504429394,0.1747889561953993,2530411466822.6,0.6924822838757183,0.017730964778662366
41,EnsembleTree(5),group_fairness,0.05875240628651026,0.00809010844529049,0.08987935111456878,0.41535598687979275,0.22908761497145771,0.00261071182299766
42,AverageEnsemble(6),disparate_parity,0.09316065644257507,0.016780570044979567,0.1294988635443755,1033814736367.4047,0.6771025587521952,0.010433245941237148
43,AverageEnsemble(6),equal_opportunity,0.10625575945607754,0.024874028811008468,0.15764913036285874,1769936070227.1763,0.7204882830998195,0.014469085364124648
44,AverageEnsemble(6),group_fairness,0.05506384506623503,0.00827860477641506,0.0909411135383071,0.243821517037901,0.15407520947079195,0.00243130223020404
45,EnsembleTree(6),disparate_parity,0.10358751570829638,0.019783445917926572,0.1406079972091887,1676917301778.0767,0.6614862638264773,0.01237796109233613
46,EnsembleTree(6),equal_opportunity,0.11734392420045428,0.03047945425179362,0.1744635184941676,2536944530733.928,0.6921955461162397,0.01767375781066936
47,EnsembleTree(6),group_fairness,0.05934274458279978,0.008309744710495599,0.0910712627165227,0.4237318943240228,0.23184940635671353,0.0026695584909841503
